,name,city,state,twitter_handle
110,Shamy Market & Bakery,Mesa,AZ,shamybakes
111,GMP Performance,Charlotte,NC,GMPperformance
112,Realty ONE Group,Scottsdale,AZ,RealtyONEnews
113,Cvs Pharmacy,Mesa,AZ,cvspharmacy
114,The Dress,Scottsdale,AZ,syttd
115,Atlantic Aviation,Las Vegas,NV,AtlanticFBO
116,Bishops Cuts/Color,Phoenix,AZ,bishopsgresham
117,Metro Pizza,Las Vegas,NV,MetroPizza
118,Artsy Nannies,Las Vegas,NV,ArtsyNannies
119,IT'SUGAR,Las Vegas,NV,ITSUGAR
120,Safelite AutoGlass,Phoenix,AZ,safelite
121,Joe's Barber Shop,Las Vegas,NV,JustCutYourHair
122,Aaron's,Mesa,AZ,AaronsInc
123,Handy Andy,Phoenix,AZ,Ferrara_Pan
124,Just Remodel,Phoenix,AZ,NashElectrician
125,Jackson Hewitt Tax Service,Phoenix,AZ,jacksonhewitt
126,First Class Auto Glass,Las Vegas,NV,FirstClassAutoG
127,The Priory Hotel,Pittsburgh,PA,theprioryhotel
128,Steel Cactus,Pittsburgh,PA,steelcactuspgh
129,Fry's,Phoenix,AZ,fryselectronics
130,Spots Dry Cleaning,Phoenix,AZ,SpotsDC
131,S & G Pharmacy,Phoenix,AZ,WalshsPharmacyG
132,Digital Office Solutions,Tempe,AZ,DigitalCorps
133,I Heart Vape,Las Vegas,NV,iheartvapelv
134,Elite Transportation,Las Vegas,NV,EliteLSinc
135,Kaya Beauty,Henderson,NV,kayatherapy
136,Yankee Candle,Gilbert,AZ,TheYankeeCandle
137,Rumors Salon,Scottsdale,AZ,StyleByRumors
138,Piza Pizza,Scottsdale,AZ,RoundTablePiza
139,"5 Star PDR, LLC",Chandler,AZ,5StarPDRLLC
140,The UPS Store,Gilbert,AZ,TheUPSStore
141,DuPure,Las Vegas,NV,DupureSocial
142,Dragon Palace,Phoenix,AZ,DragonPalaceJA
143,Wells Fargo Bank,Henderson,NV,WellsFargo
144,Sonterra Apts,Las Vegas,NV,SonterraApts
145,Omega Land Sailing,Las Vegas,NV,GoLandSailing
146,Heinz Chapel,Pittsburgh,PA,HeinzChapel
147,PNC Bank,Pittsburgh,PA,PNCBank
148,Banner Plus,Las Vegas,NV,LoveUrSelfies
149,Cox Business,Las Vegas,NV,coxbusiness
150,Coldwell Banker Real Estate Services,Pittsburgh,PA,CBRB_NewEngland
151,Discount Tire,Las Vegas,NV,DiscountTire
152,Café Zupas,Gilbert,AZ,CafeZupas
153,Kirkland's,Chandler,AZ,kirklands
154,Houston's Restaurant,Scottsdale,AZ,Hugos_Houston
155,First Arizona Title,Scottsdale,AZ,FirstAZTitle
156,The Beat Booth,Phoenix,AZ,mainthevillain
157,Ultra Smile Dentistry,Mesa,AZ,UltraSmileMiami
158,Reboot Game Lounge,Las Vegas,NV,RebootGamingLV
159,O'reilly Auto Parts,Phoenix,AZ,oreillyauto
160,Sasa Sushi,Las Vegas,NV,Sushi_Sasa
161,Krends,Las Vegas,NV,KrendsMarketing
162,Sirius Pet Styling,Las Vegas,NV,siriuspetstylin
163,Kolor-N-Kiln,Pittsburgh,PA,Kolor_N_Kiln
164,DiBella's Subs,Pittsburgh,PA,DiBellasSubs
165,Union Standard,Pittsburgh,PA,union_standard
166,J Major's Bridal Boutique,Charlotte,NC,jmajorsbridal
167,Food City,Phoenix,AZ,FoodCity
168,One Stop Nutrition,Tempe,AZ,CatalinaNorton_
169,Port of Subs,Gilbert,AZ,PortofSubs_LV
170,JC's Steakhouse,Gilbert,AZ,JCSteakhouseAZ
171,Complete Care Medicine,Gilbert,AZ,uabmedicine
172,Dollar Tree,Las Vegas,NV,DollarTree
173,On Call Cash,Las Vegas,NV,CFO_on_Call
174,Global Movers,Las Vegas,NV,CityAndBeachMag
175,Binh Beauty Salon,Charlotte,NC,TwitteBinh
176,Wingstop,Phoenix,AZ,wingstop
177,Midas,Phoenix,AZ,midaspromotions
178,Catawba Brewing,Charlotte,NC,CatawbaBeer
179,Rent-A-Wheel,Las Vegas,NV,rentawheel
180,Hungry Street Grille,Phoenix,AZ,hungrystgrille
181,The UPS Store,Las Vegas,NV,TheUPSStore
182,Pro Floors,Scottsdale,AZ,ProDanceFloors
183,Vintage By Misty,Scottsdale,AZ,VintagebyMisty
184,Discount Tire,Phoenix,AZ,DiscountTire
185,Rosati's Pizza,Scottsdale,AZ,Rosatis_Pizza
186,Mint Locker,Las Vegas,NV,mintlocker
187,Linda Woodson Dermatology,Las Vegas,NV,L_Woodson_Derm
188,Sycamore Brewing,Charlotte,NC,SycamoreBrewing
189,Teriyaki Madness,Las Vegas,NV,teriyakimad
190,La Fiesta Grande,Charlotte,NC,LaFiestaGrande
191,Carousel Club,Charlotte,NC,TheCarouselClub
192,Spin Cycle,Las Vegas,NV,kaytrixx
193,Earnhardt Kia,Phoenix,AZ,EarnhardtKia
194,Mototire,Phoenix,AZ,Mototire_AZ
195,Moon Valley Cafe,Phoenix,AZ,MoonValleyCafe
196,Rodeway Inn,Charlotte,NC,BerkeleyRodeway
197,Towbin Motorcars,Las Vegas,NV,TowbinMotorcars
198,Chili Rush,Mesa,AZ,hotsaucemadman
199,OK Corral Carpets,Mesa,AZ,OKCorralCarpe
200,Vegas Getaways,Las Vegas,NV,SuiteLifeVegas
201,Ace Parking Management,Phoenix,AZ,AceParking
202,Mr Smoke Shop,Las Vegas,NV,mrbillslv
203,Old Country Buffet,Phoenix,AZ,gentsandbets
204,Apartment Hunters,Mesa,AZ,AptHuntersGVL
205,Jack in the Box,Mesa,AZ,JackBox
206,The Living Room,Scottsdale,AZ,livingroomtv
207,The Meadows,Las Vegas,NV,themeadowsnyc
208,Refill Pharmacy,Las Vegas,NV,VRefillPharmacy
209,The Chicken Shack,Henderson,NV,TheGoodBros2
210,Jimmy John's,Mesa,AZ,jimmyjohns
211,Yoga On the Lawn,Las Vegas,NV,Fresh_Fest
212,Al Phillips The Cleaner,Las Vegas,NV,alphillipslv
213,Cyclone Las Vegas,Las Vegas,NV,Cyclonelasvegas
214,Verizon,Tempe,AZ,verizon
215,Brake Masters,Phoenix,AZ,Brake_Masters
216,Ferguson,Phoenix,AZ,TonyFergusonXT
217,Total Wine & More,Las Vegas,NV,TotalWine
218,Phantom of the Attic - Oakland,Pittsburgh,PA,potaOakland
219,Bosa Donuts,Tempe,AZ,BosaDonuts
220,Fashion Nail and Spa,Phoenix,AZ,CielosalonAZ
221,Dominguez-Martin Group,Las Vegas,NV,dm_group_lv
222,Complete Financial Services,Las Vegas,NV,completefinan
223,The Powell Law Firm,Las Vegas,NV,JamesPowellLaw
224,Goodwill,Scottsdale,AZ,GoodwillIntl
225,Saks OFF 5TH,Pittsburgh,PA,SaksOFF5TH
226,Kandy Bar,Charlotte,NC,TheKandyBar
227,Apria Healthcare,Gilbert,AZ,ApriaSucks
228,Top Fuel Espresso,Gilbert,AZ,TF_Espresso
229,Geo Roofing,Phoenix,AZ,RoofRepairAZ
230,AT&T,Phoenix,AZ,ATT
231,Monte Viejo,Phoenix,AZ,MviejoFutsal
232,Sprint,Phoenix,AZ,sprint
233,Hands 4 Healing,Tempe,AZ,HealHands4Haiti
234,QuikTrip,Gilbert,AZ,QuikTrip
235,The Donut Shoppe,Phoenix,AZ,TheSaltyDonut
236,Mineo's Pizza House,Pittsburgh,PA,Mineos_Pizza
237,Penelope Pink,Chandler,AZ,PinkChronic89
238,Chicken King,Charlotte,NC,aiansalaysay
239,Zoes Kitchen,Phoenix,AZ,ZoesKitchen
240,A L Financial,Phoenix,AZ,badeabank
241,Evereve,Gilbert,AZ,evereveofficial
242,McDonald's,Mesa,AZ,McDonalds
243,The Draft Sports Grill,Mesa,AZ,draftsportsbar1
244,Panera Bread,Pittsburgh,PA,panerabread
245,Popeyes Louisiana Kitchen,Pittsburgh,PA,PopeyesChicken
246,Discount Liquor,Las Vegas,NV,DiscountLiqWauk
