,name,city,state,twitter_handle
3803,Chic Favors & Invitations,Las Vegas,NV,MarciGuttenberg
3804,Bank of America,Charlotte,NC,BankofAmerica
3805,Chelini,Phoenix,AZ,IzzyChelini
3806,Arizona Brewery Tours,Phoenix,AZ,ToursOnTap
3807,Larrys Cocktails,Phoenix,AZ,LarrysVenice
3808,Jiffy Lube,Las Vegas,NV,jiffylube
3809,Firehouse Subs,Las Vegas,NV,FirehouseSubs
3810,US Tire,Las Vegas,NV,USTireAssoc
3811,Bloom,Las Vegas,NV,Racheldoesstuff
3812,Our Kitchen To Yours,Phoenix,AZ,exceptionalfood
3813,Pixy Cakes,Scottsdale,AZ,PixyCakes
3814,Bones Cabaret,Scottsdale,AZ,isyourmindsafe
3815,Warrior Dash,Henderson,NV,WarriorDash
3816,Starbucks,Phoenix,AZ,Starbucks
3817,Traveling Chef,Las Vegas,NV,TrannonCulinary
3818,PetSmart,Mesa,AZ,PetSmart
3819,KFC,Charlotte,NC,kfc
3820,Scrubs & Beyond,Gilbert,AZ,ScrubsAndBeyond
3821,Circle K,Gilbert,AZ,CircleKStores
3822,Pecos Storage,Phoenix,AZ,SWpecos
3823,California Pizza Kitchen,Las Vegas,NV,calpizzakitchen
3824,Lymphatic Therapy,Las Vegas,NV,MendingMoon
3825,Chase Bank,Las Vegas,NV,Chase
3826,Publix,Charlotte,NC,Publix
3827,All Things Aquatic,Pittsburgh,PA,urchinhunter
3828,Fitness 1,Phoenix,AZ,1TeamFitRetreat
3829,Welch Plastics,Las Vegas,NV,welchplastics
3830,A Dog's Best Friend,Las Vegas,NV,BILLKEYWEST
3831,Dunkin' Donuts,Phoenix,AZ,dunkindonuts
3832,Rubio's,Phoenix,AZ,MrWillRitter
3833,Valero,Gilbert,AZ,ValeroEnergy
3834,Rocky Mountain Chocolate Factory,Las Vegas,NV,RockyMtnChocInc
3835,One Take Photography,Gilbert,AZ,CphilpottCraig
3836,Buccos Roofing,Pittsburgh,PA,BuccosRoofing
3837,Henry's American Grill,Henderson,NV,Relentulous
3838,Once Interactive,Las Vegas,NV,bjornwallman
3839,Sinful Subs,Las Vegas,NV,7sinfulsubs
3840,Comedy Off Main St,Mesa,AZ,comedyoffmainst
3841,Domino's Pizza,Las Vegas,NV,dominos
3842,O'Kelley's,Mesa,AZ,Kellrod
3843,McDonald's,Las Vegas,NV,McDonalds
3844,"Young Colby, MD",Las Vegas,NV,CPYOUNGMD
3845,SuperPawn,Las Vegas,NV,superpawn
3846,Prestige Pet Salon,Chandler,AZ,PETSOFPRESTIGE
3847,American Eagle Outfitters,Henderson,NV,AEO
3848,Papa John's Pizza,Charlotte,NC,PapaJohns
3849,Expert Nails,Charlotte,NC,LeightonDennyEN
3850,Indulgence Salon,Charlotte,NC,B_Indulgence
3851,T-Mobile,Las Vegas,NV,TMobile
3852,Citi Cleaners,Charlotte,NC,citijanitorial
3853,Subway,Charlotte,NC,SUBWAY
3854,Parking Services Office,Las Vegas,NV,ParkingatAU
3855,Brown Law Offices,Las Vegas,NV,mnfamilylawfirm
3856,Jokesters Comedy Club,Las Vegas,NV,JokestersCC
3857,Sephora,Las Vegas,NV,Sephora
3858,Furniture Factory,Las Vegas,NV,RupertBlanchard
3859,Irish Design Center,Pittsburgh,PA,SundaysatSeven
3860,Complete Family Vision Care,Pittsburgh,PA,CFVCChippewa
3861,Jimmy John's,Henderson,NV,jimmyjohns
3862,911 Safe Locksmith,Las Vegas,NV,911safelocksmit
3863,Enterprise Rent-A-Car,Mesa,AZ,Enterprise
3864,Highway Robbery Vintage,Pittsburgh,PA,HighwayRobbery_
3865,Banana Republic,Charlotte,NC,BananaRepublic
3866,Urban Outfitters,Phoenix,AZ,UrbanOutfitters
3867,Rehab Burger Therapy,Tempe,AZ,RehabBurger
3868,Flashback Games,Tempe,AZ,ATGFlashback
3869,Eco-Pro Planet,Las Vegas,NV,ecoappsfree
3870,Greenleafe Inn,Charlotte,NC,greenleafe_inn
3871,C & R Tire,Phoenix,AZ,CandRTireAZ
3872,Defending the Caveman,Las Vegas,NV,CavemanVegas
3873,MD Skin Lounge,Scottsdale,AZ,MDSkinLounge
3874,Toyama,Scottsdale,AZ,kentarotoyama
3875,Starbucks,Scottsdale,AZ,Starbucks
3876,Port of Subs,Las Vegas,NV,PortofSubs_LV
3877,Rainbow Donuts,Phoenix,AZ,glazeartisan
3878,Alphagraphics,Mesa,AZ,AlphaGraphics
3879,Hobby Prodigy,Pittsburgh,PA,HobbyProdigy
3880,Best Friends Animal Hospital,Mesa,AZ,BestFriends_MO
3881,Frost Orthodontics,Mesa,AZ,frostortho
3882,Arizona Interlocks,Tempe,AZ,AZInterlocks
3883,Which Wich,Tempe,AZ,whichwich
3884,Green Valley Baptist Church,Henderson,NV,pastorvogt
3885,IHOP,Henderson,NV,IHOP
3886,A Razor's Edge,Phoenix,AZ,__M1ch3l3
3887,Wienerschnitzel,Henderson,NV,wienerschnitzel
3888,The Butler Did It! CLT,Charlotte,NC,NCButlers
3889,East West Pizzeria,Las Vegas,NV,villagepizzaCA
3890,MKB Cleaning,Las Vegas,NV,MKBCleaningSvcs
3891,Floyd's Barber Shop,Chandler,AZ,Icedoutbarber
3892,One5 Lakeside,Henderson,NV,One5Lakeside
3893,TruGreen,Tempe,AZ,TruGreen
3894,Stone Renovations,Tempe,AZ,oldstonehouses
3895,Tempe Dental Care,Tempe,AZ,TempeAZDentist
3896,Pint Central,Charlotte,NC,PintCentral
3897,Dulce Donuts,Las Vegas,NV,DulceDonuts
3898,Nails By Laila,Charlotte,NC,NailsByLaila
3899,Taco Bell,Charlotte,NC,tacobell
3900,Brighton Family Medicine,Henderson,NV,BrightonFamMed
3901,Custom Art Designs,Mesa,AZ,DesignsByMigo
3902,J. Gumbo's,Las Vegas,NV,JGumbosDelaware
3903,Town Cleaners,Las Vegas,NV,lyland17
3904,Let It Rain Roofing,Las Vegas,NV,letitrainroofin
3905,Lake Mead Chiropractic,Las Vegas,NV,lakemeadchiro
3906,Preston & Grafton Insurance Agency,Pittsburgh,PA,pittsburghinsur
3907,Later Tater,Gilbert,AZ,Later_Tater_TV
3908,Cafe Rio,Las Vegas,NV,caferio
3909,Starbucks,Las Vegas,NV,Starbucks
3910,Discount Tire,Mesa,AZ,DiscountTire
3911,Da Lounge Barbershop,Phoenix,AZ,DaBarber_310
3912,Smile Dental Clinics,Phoenix,AZ,SmileClinicsAU
3913,Pup Pup and Away,Pittsburgh,PA,Up_Pup_And_Away
3914,Sovereign Health Group,Chandler,AZ,tonmoysharmaceo
3915,Carl's Jr Restaurants,Las Vegas,NV,theBITEshows
3916,Kaya,Pittsburgh,PA,kScodders
3917,Famous Footwear,Gilbert,AZ,FamousFootwear
3918,Everyday Noodles,Pittsburgh,PA,BrizzSoCold
3919,Prosperity Cleaners,Charlotte,NC,ProsperityCLNRS
3920,Smog Busters,Las Vegas,NV,SMOGBustersCA
3921,Advantage Services,Las Vegas,NV,OpenTextContent
3922,Pt's Pub,Las Vegas,NV,ThePubSville1
3923,American Home Services,Chandler,AZ,AmericanAcadNHS
3924,National Bank of Arizona,Tempe,AZ,NBAZInteractive
3925,Concentrix,Tempe,AZ,Concentrix
3926,McDonald's,Phoenix,AZ,McDonalds
3927,High Roller,Las Vegas,NV,HighRollerVegas
3928,Hampton Inn Tropicana,Las Vegas,NV,HamptonInnTrop
3929,Chase Bank,Las Vegas,NV,Chase
3930,Elite Firearms,Las Vegas,NV,EliteFirearms
3931,Henna Shoppe,Tempe,AZ,HennaShoppe
3932,Dunkin' Donuts,Las Vegas,NV,dunkindonuts
3933,Beerhead Bar,Pittsburgh,PA,beerheadbar
3934,Escape Games Az,Mesa,AZ,ESCAPEGAMESAZ
3935,Petco,Mesa,AZ,Petco
3936,Sid's Cafe,Las Vegas,NV,sid_standards
3937,CASH 1 Loans,Las Vegas,NV,cash1loans
3938,Cardinal Clean,Gilbert,AZ,CardinalCleanNC
3939,The Roasting Company,Charlotte,NC,TheRoastingCo
3940,I-MAD,Scottsdale,AZ,MotleyCrue
3941,Panda Express,Mesa,AZ,PandaExpress
3942,Mt Troy Inn,Pittsburgh,PA,MTCountryInn
3943,Allegheny Smokeworks,Pittsburgh,PA,PittsburghCigar
3944,JB Water,Mesa,AZ,JbMuzic1994
3945,Modern Nails,Pittsburgh,PA,emenaspa
3946,Daisy Nails,Mesa,AZ,DaisyBooNails
3947,McDonald's,Las Vegas,NV,McDonalds
3948,Montway Auto Transport,Phoenix,AZ,montway
3949,Soup & Sausage Bistro,Phoenix,AZ,SoupSausBistro
3950,Southwest Airlines,Phoenix,AZ,SouthwestAir
3951,The Place For Flowers,Charlotte,NC,uBloom
3952,Repo-Zone,Las Vegas,NV,NeonRepo
3953,Total Wine & More,Charlotte,NC,TotalWine
3954,Disney Store,Pittsburgh,PA,derekburgan
3955,PetSmart,Tempe,AZ,PetSmart
3956,Grand China,Henderson,NV,Amanresorts
3957,Progressive Auto Insurance,Las Vegas,NV,Progressive
3958,Hertz Rent A Car,Las Vegas,NV,Hertz
3959,Wicked Waxing,Las Vegas,NV,WickedWaxing
3960,US Post Office,Pittsburgh,PA,USPS
3961,Anthony's Coal Fired Pizza,Pittsburgh,PA,AnthonysCFPizza
3962,Lady C Leather,Las Vegas,NV,LadyCLeather
3963,Swave Barber Lounge,Charlotte,NC,swave_barber
3964,Howard Hanna Insurance,Pittsburgh,PA,Insurance_HH
3965,The Library,Pittsburgh,PA,SFPublicLibrary
3966,Aaron's,Phoenix,AZ,AaronsInc
3967,Royal Vapor,Phoenix,AZ,RoyalHeightsSC
3968,Super Star Car Wash,Phoenix,AZ,CarWashAZ
3969,Shale's Cafe,Pittsburgh,PA,ShalesCafePgh
3970,Feel The Music Dance Studio,Las Vegas,NV,FTMDanceStudio
3971,Sam's Club,Las Vegas,NV,SamsClub
3972,Enterprise Rent-A-Car,Las Vegas,NV,Enterprise
3973,Sitel,Las Vegas,NV,Sitel_WorldWide
3974,Gamestop,Las Vegas,NV,GameStop
3975,Bighorn Law,Las Vegas,NV,bighornlaw
3976,Nathan K Photography,Henderson,NV,kvijaynathan
3977,Chipotle Mexican Grill,Pittsburgh,PA,ChipotleTweets
3978,The Dirty Joke Show,Las Vegas,NV,MikeRoweShow
3979,Kokomo Grills,Phoenix,AZ,kokomogrills
3980,Entrusted Pets,Phoenix,AZ,entrustedpets
3981,The Burrito Factory,Charlotte,NC,tbf57
3982,Community Thrift Store,Charlotte,NC,SVDPThrift
3983,Fortitude Fitness,Henderson,NV,FitByFortitude
3984,Judaica Shop,Phoenix,AZ,JudaicaShop
3985,Camelback Mountain,Phoenix,AZ,sanctuaryaz
3986,Enterprise Rent-A-Car,Charlotte,NC,Enterprise
3987,Just For You Salon & Spa,Tempe,AZ,JustForYou_Spa
3988,Acres Cannabis,Las Vegas,NV,AcresCannabis
3989,Sandstone Apts,Mesa,AZ,SandstoneAptsAZ
3990,Higley Dental Care,Gilbert,AZ,higleydental_
3991,Beijing Chinese Cuisine,Charlotte,NC,BeijingCuisine
3992,Wells Fargo Bank,Charlotte,NC,WellsFargo
3993,Mo' Burger,Tempe,AZ,MoMAbbieBurger
3994,Adams Locksmith,Scottsdale,AZ,adamslocksmith
3995,Sephora,Chandler,AZ,Sephora
3996,In-N-Out Burger,Las Vegas,NV,innoutburger
3997,Tumbleweed Park,Chandler,AZ,tumbleweed07
3998,Taco Bell,Pittsburgh,PA,tacobell
3999,KFC,Chandler,AZ,kfc
4000,Health Care Partner,Las Vegas,NV,NHSDigital
4001,777rentals,Las Vegas,NV,777rentals
4002,Carole's Couture,Scottsdale,AZ,CarolesCouture
4003,Señor Taco,Scottsdale,AZ,senor_taco14
4004,Paradise Greens,Scottsdale,AZ,ParadiseGreens
4005,CVS,Scottsdale,AZ,cvspharmacy
4006,ABC Stores,Las Vegas,NV,abcstoreshawaii
4007,Arizona Executive,Phoenix,AZ,9thFloorAZ
4008,Biscuits Cafe,Chandler,AZ,biscuits_cafe
4009,Amazing Yoga,Pittsburgh,PA,AmazingYoga
4010,Morton's The Steakhouse,Scottsdale,AZ,Mortons
4011,Fantastic Sams,Henderson,NV,FSHairSalons
4012,Jersey Mike's Subs,Charlotte,NC,jerseymikes
4013,North View Dental,Las Vegas,NV,NorthViewLV
4014,OSR Physical Therapy,Scottsdale,AZ,OSRPT
4015,Foxtail Pool Club,Las Vegas,NV,foxtailpoolclub
4016,Folies Bergere,Las Vegas,NV,JPGFFshow
4017,Stylistics,Phoenix,AZ,SHU_Stylistics
4018,Creo School,Gilbert,AZ,creoschool
4019,Target,Gilbert,AZ,Target
4020,Einstein Bros Bagels,Phoenix,AZ,EinsteinBros
4021,Atwood Sites,Mesa,AZ,atwoodsites
4022,Starbucks,Phoenix,AZ,Starbucks
4023,Retrorvs,Phoenix,AZ,retroRVs
4024,Brandt Chiropractic,Scottsdale,AZ,BrandtChiro
4025,Budwig Team,Scottsdale,AZ,BudwigTeam
4026,Total Wine & More,Tempe,AZ,TotalWine
4027,Einstein Bros Bagels,Tempe,AZ,EinsteinBros
4028,JK Realty,Gilbert,AZ,jkrealtyaz
4029,Remedy's Tavern,Henderson,NV,RemedysTavernLV
4030,Doc & Eddy's,Tempe,AZ,docandeddys
4031,Church's Chicken,Tempe,AZ,ChurchsChicken
4032,Queen Park Social,Charlotte,NC,queenparksocial
4033,Steak 'n Shake,Tempe,AZ,SteaknShake
4034,La Bella Napoli Pizzeria,Las Vegas,NV,LaBellaNapoliLV
4035,Pain Stop Mesa,Mesa,AZ,painstopmesa
4036,Humble Pie,Scottsdale,AZ,IGOSODAMNHAM
4037,Buy Right Auto Sales,Phoenix,AZ,buyrightcarsale
4038,Jack in the Box,Mesa,AZ,JackBox
4039,Smooth Dentistry,Las Vegas,NV,SmoothDentistry
4040,J and H Plumbing,Mesa,AZ,JSPlumbingandH1
4041,RestorFx,Las Vegas,NV,RestorFX
4042,ServiceMaster Cleaning Solutions,Chandler,AZ,CarpetCleaning1
4043,360 Gourmet Burrito,Las Vegas,NV,360Burrito
4044,BoltBus,Las Vegas,NV,BoltBus
4045,Pizza Hut,Las Vegas,NV,pizzahut
4046,Sprint Store,Las Vegas,NV,Pasadena_Sprint
4047,BeanThru,Pittsburgh,PA,BeanThru
4048,Lou's Diner,Las Vegas,NV,ULFriedChicken
4049,Your Way Auto Sale,Phoenix,AZ,YourWayAutoSale
4050,Bei,Scottsdale,AZ,LDSchurch
4051,Cafe Monte,Charlotte,NC,CafeMonteBistro
4052,Sweet Republic,Scottsdale,AZ,SweetRepublic
4053,Express Employment Professionals,Charlotte,NC,ExpressIndyN
4054,SanTan Village,Gilbert,AZ,SanTanVillage
4055,The UPS Store,Scottsdale,AZ,TheUPSStore
4056,Arizona Matsuri,Phoenix,AZ,ArizonaMatsuri
4057,City Health Services,Phoenix,AZ,NGHAnews
4058,Bakers Travertine Power Clean,Chandler,AZ,BTPowerClean
4059,Darling Nails,Chandler,AZ,redshoes
4060,Vital4men,Chandler,AZ,Vital4Men
4061,Walgreens,Chandler,AZ,Walgreens
4062,TGI Fridays,Charlotte,NC,TGIFridays
4063,Subway,Charlotte,NC,SUBWAY
4064,Hair of the Dog,Las Vegas,NV,hairofthedognyc
4065,NYPD Pizza,Scottsdale,AZ,NYPDPizzeria
4066,Thai BBQ,Las Vegas,NV,sean__cotton
4067,Green Guys,Las Vegas,NV,the_green_guys
4068,Whooli's Grill,Charlotte,NC,Whoolis
4069,Discount Tire,Scottsdale,AZ,DiscountTire
4070,Car Beyond Store,Scottsdale,AZ,CarBeyondStore
4071,Jimmy John's,Pittsburgh,PA,jimmyjohns
4072,Mike's Garage,Phoenix,AZ,WDtravelinghat
4073,Lo-Lo's Chicken and Waffles,Gilbert,AZ,loloschicken
4074,Fun and Sun Rentals,Gilbert,AZ,FunandSunRental
4075,The Insurance Store,Gilbert,AZ,insurancestore
4076,Haymore Endodontics,Henderson,NV,HaymoreEndo
4077,Foot Solutions,Henderson,NV,FootSolutions
4078,One 2 Vapor,Las Vegas,NV,one2vapor
4079,Park Animal Hospital,Las Vegas,NV,VPAH
4080,Red Rice,Las Vegas,NV,redredrice
4081,"The Rock, A Christian Church",Las Vegas,NV,RockChurchMACS
4082,Viet Kitchen,Phoenix,AZ,HiVietKitchen
4083,Canyon State Glass,Gilbert,AZ,canyonglass
4084,Pizza Hut,Pittsburgh,PA,pizzahut
4085,Papa John's Pizza,Charlotte,NC,PapaJohns
4086,Life Storage,Henderson,NV,LifeStorage
4087,Discount Rental Car,Las Vegas,NV,DiscountCar
4088,Memphis Championship Barbecue,Las Vegas,NV,memphisbarbecue
4089,Hair We R,Las Vegas,NV,GauntletHair
4090,Ultimate Staffing Services,Las Vegas,NV,RightSeatLtd
4091,Subway,Phoenix,AZ,SUBWAY
4092,Binh Duong Quan,Mesa,AZ,QuanBinhDuong1
4093,RV Complete,Phoenix,AZ,CrestviewRV
4094,Portrait Innovations,Las Vegas,NV,PortraitsDotCom
4095,Firehouse Subs,Las Vegas,NV,FirehouseSubs
4096,Bell Honda,Phoenix,AZ,BellHonda
4097,Modern Nails,Pittsburgh,PA,emenaspa
4098,Walgreens,Las Vegas,NV,Walgreens
4099,Bridges Preschool,Tempe,AZ,BRiDGESECE
4100,Eat'n Park,Pittsburgh,PA,EatnPark
4101,O'Reilly Auto Parts,Las Vegas,NV,oreillyauto
4102,Chase Bank,Chandler,AZ,Chase
4103,First Quality Roofing,Las Vegas,NV,Quality1stHome
4104,Wireless Toyz,Las Vegas,NV,Wireless_Toyz
4105,QQ Tea Plus,Las Vegas,NV,QQTeaPlus
4106,Jasmin Nails & Spa,Mesa,AZ,JasminNailsSpa
4107,The Phoenician Golf Club,Scottsdale,AZ,ThePhoenicianGC
4108,Tranquil Massage,Scottsdale,AZ,TranquilNotes
4109,Reality Defense Training,Scottsdale,AZ,DefenseTraining
4110,Murphy's Law,Chandler,AZ,heathertal
4111,Federico's Mexican Food,Scottsdale,AZ,FedericosFood
4112,Enchanted Florist,Scottsdale,AZ,_Enchanted_
4113,Jiffy Lube,Las Vegas,NV,jiffylube
4114,The Ivy,Chandler,AZ,thebandivy
4115,Cabo Wabo Cantina,Las Vegas,NV,CaboWaboCSL
4116,Brianna Michelle Beauty,Las Vegas,NV,brianna1beauty
4117,Salon De Manila,Chandler,AZ,salondemanila
4118,HomeGoods,Las Vegas,NV,HomeGoods
4119,Downtown Locksmith,Phoenix,AZ,LocksmithBos
4120,Chevron,Las Vegas,NV,Chevron
4121,La Botana,Phoenix,AZ,Pitufo1023
4122,"Blue Dot Pools, LLC",Phoenix,AZ,BlueDotPools
4123,Manna Korean BBQ,Las Vegas,NV,mannakoreanbbq
4124,CrossFit Eternal,Charlotte,NC,CrossFitEternal
4125,Journeys,Gilbert,AZ,journeys
4126,The Lodge Tenaya,Las Vegas,NV,TenayaYosemite
4127,A Family Secret,Las Vegas,NV,SLuxenberg
4128,Julioberto's,Phoenix,AZ,JuliobertosBuck
4129,Motel 6,Phoenix,AZ,TomBodett
4130,Mellinger Beer Distributor,Pittsburgh,PA,MellingerBeer
4131,LittleBizzy,Las Vegas,NV,littlebizzy31
4132,Dw Landscape,Henderson,NV,DWLandscapeMain
4133,Touch Of Angel,Tempe,AZ,gumbo_goddess
4134,Transformations Salon,Phoenix,AZ,Paignton_Hair
4135,Subway,Charlotte,NC,SUBWAY
4136,Familia Pizzeria,Las Vegas,NV,caribeconcert
4137,Yak's Fitness,Las Vegas,NV,YaksFitness
4138,The Gentlemen's Club Of Charlotte,Charlotte,NC,ScoresNC
4139,HeadzUP,Las Vegas,NV,Headzup16
4140,Krispy Kreme,Las Vegas,NV,krispykreme
4141,Herbst Market,Las Vegas,NV,HerbstMarket
4142,Teriyaki Madness,Henderson,NV,teriyakimad
4143,Dream Nails,Pittsburgh,PA,yourdreamnails
4144,Jersey Mike's Subs,Tempe,AZ,jerseymikes
4145,Nationwide Vision Centers,Mesa,AZ,NwVisionCenters
4146,Paris Tattoos,Charlotte,NC,LauraSatana
4147,Then Again AZ,Phoenix,AZ,ThenAgainAZ
4148,Nothing Bundt Cakes,Las Vegas,NV,nothingbundt
4149,Onyx,Las Vegas,NV,ONYX_HQ
4150,Cox Communications,Tempe,AZ,CoxComm
4151,Pizza Hut,Chandler,AZ,pizzahut
4152,CTR Plumbing,Gilbert,AZ,BaldwinBrassCtr
4153,The Wrap Room,Tempe,AZ,TheWrapRoom
4154,Eva Nails & Spa,Las Vegas,NV,Evanailsspamore
4155,Fantastic Nails,Las Vegas,NV,fantasticfilms
4156,Bodyheat Tanning,Las Vegas,NV,bodyheattanning
4157,Protect Your Home - ADT Authorized Premier Provider,Las Vegas,NV,ProtectYourHome
4158,Thrifty Rent A Car,Phoenix,AZ,thriftycars
4159,Movers of the Valley,Phoenix,AZ,movetophoenix
4160,Dignified Home Loans,Las Vegas,NV,DignifiedLoans
4161,Perfect Fit Tailor,Las Vegas,NV,iamtailormade
4162,Pizza Hut,Pittsburgh,PA,pizzahut
4163,The Piercing Shop,Las Vegas,NV,PiercingShopLV
4164,El Pollo Loco,Las Vegas,NV,ElPolloLoco
4165,Ballstaedt Law Firm,Las Vegas,NV,BKAttorneyVegas
4166,O'Reilly Auto Parts,Mesa,AZ,oreillyauto
4167,Hair Unlimited,Mesa,AZ,RuanPhysio
4168,Look Puppies,Henderson,NV,mosquito_chaser
4169,Audrey's,Phoenix,AZ,ladycoach_coops
4170,The Nailery,Pittsburgh,PA,TheNailery_
4171,Margaret T Hance Park,Phoenix,AZ,ameri_CANFest
4172,Good Moving,Phoenix,AZ,GoodStuffMoving
4173,99 Ranch Market,Las Vegas,NV,RanchMarket99
4174,Cox Communications,Gilbert,AZ,CoxComm
4175,Wishbone's Pet Care,Pittsburgh,PA,Wishbones412
4176,LaCia Salon,Gilbert,AZ,laciasalon
4177,Love Photo Booths,Las Vegas,NV,sarahmbakula
4178,Walmart Neighborhood Market,Las Vegas,NV,jackcarey24
4179,Einstein Bros Bagels,Phoenix,AZ,EinsteinBros
4180,Press Coffee,Tempe,AZ,PressCoffee
4181,Las Vegas Rooter,Las Vegas,NV,lvrooter
4182,Floor One,Tempe,AZ,Tomlinbucks
4183,MePhi,Tempe,AZ,Mephitzto
4184,Dog Daze & Cafe,Pittsburgh,PA,DazeCafe
4185,Octane CrossFit,Phoenix,AZ,CrossFit_HO
4186,China Gourmet,Las Vegas,NV,ChinaLil
4187,Chase Bank,Las Vegas,NV,Chase
4188,Mega 104.3,Scottsdale,AZ,AlexCMusic
4189,VF Outlet,Las Vegas,NV,VFOutlet
4190,Lobby Bar,Las Vegas,NV,TheBrownHotel
4191,Egg N' Joe,Gilbert,AZ,tjlavalley72
4192,Potbelly Sandwich Shop,Gilbert,AZ,Potbelly
4193,Clark County Health District,Las Vegas,NV,clarkcohealth
4194,Hair by Marcedes,Las Vegas,NV,hairbymarcedes
4195,KatTax,Las Vegas,NV,KatTaxBiz
4196,Hera Beauty,Las Vegas,NV,HeraBeauty2014
4197,Enterprise Rent-A-Car,Las Vegas,NV,Enterprise
4198,Vegas One Realty,Las Vegas,NV,VegasOneRealty
4199,Scoops Thrifty Ice Cream,Las Vegas,NV,ThriftyIceCream
4200,Viva Dental,Las Vegas,NV,VivaDentist
4201,Woodside Homes,Las Vegas,NV,WoodsideHomes
4202,Games N' At,Pittsburgh,PA,Coninews
4203,Sam's Club,Phoenix,AZ,SamsClub
4204,Mijana,Tempe,AZ,mizanasuhaimi
4205,FASTSIGNS,Tempe,AZ,FASTSIGNS
4206,Grow Generation,Las Vegas,NV,SUGenOrange
4207,Matt's Big Breakfast,Tempe,AZ,mattsbigbrkfst
4208,The Flashing Co,Las Vegas,NV,LEDFlashing
4209,It's All Greek To Me,Tempe,AZ,Luckees96
4210,All the Best Catering,Pittsburgh,PA,allthebestff
4211,GlowZone - Las Vegas,Las Vegas,NV,GlowzoneLV
4212,Sanctuary Bail Bonds,Phoenix,AZ,SanctuaryBailAZ
4213,Findlay Honda,Las Vegas,NV,FindlayHenHonda
4214,Walgreens,Las Vegas,NV,Walgreens
4215,hhgregg Appliances,Charlotte,NC,hhgregg
4216,Elements Massage,Phoenix,AZ,ElementsMassage
4217,Woodstream Village,Mesa,AZ,woodstreamvilla
4218,H&R Block,Mesa,AZ,HRBlock
4219,Popeyes Louisiana Kitchen,Phoenix,AZ,PopeyesChicken
4220,Island Auto Service,Las Vegas,NV,hamptonstraffic
4221,The UPS Store,Scottsdale,AZ,TheUPSStore
4222,Vincent Market Bistro,Phoenix,AZ,vincentsoncback
4223,McDonald's,Phoenix,AZ,McDonalds
4224,Vdara Hotel,Las Vegas,NV,VdaraLV
4225,Waxetera,Mesa,AZ,Waxetera
4226,Cycle Gear,Phoenix,AZ,CycleGear
4227,Spoonwood Brewing,Pittsburgh,PA,SpoonwoodBrewin
4228,Bath & Body Works,Las Vegas,NV,bathbodyworks
4229,PostNet,Las Vegas,NV,PostNet
4230,Vons,Las Vegas,NV,vons
4231,Upstream,Charlotte,NC,UpstreamOnline
4232,Famous Ray's Pizza,Phoenix,AZ,famousrayspizza
4233,Massage Well,Las Vegas,NV,LW_Massage
4234,Spin City Laundromat,Las Vegas,NV,comecleanit
4235,Total Nutrition,Las Vegas,NV,DanGCox
4236,Consignments on Park,Charlotte,NC,consign1st
4237,Au Bon Pain,Pittsburgh,PA,AuBonPain
4238,"Reva Frey, RN",Las Vegas,NV,BeautyByReva
4239,Freshii,Charlotte,NC,freshii
4240,All About You Medspa,Chandler,AZ,allaboutumedspa
4241,Chick-fil-A,Chandler,AZ,ChickfilA
4242,Desert Eyesthetics,Gilbert,AZ,EyePlasticsAZ
4243,Wildflower Bread Company,Gilbert,AZ,WildflowerCEO
4244,Better Homes & Gardens Real Estate,Scottsdale,AZ,sherrychris
4245,Metropolitan Ballroom,Charlotte,NC,MetroBallroom
4246,Retablo,Scottsdale,AZ,RetabloPanama
4247,Hot Haute Hot,Pittsburgh,PA,hautedogcarte
4248,Beckett's Table,Phoenix,AZ,chefbeckett
4249,PetSmart,Phoenix,AZ,PetSmart
4250,Pei Wei,Phoenix,AZ,PeiWei
4251,Flower Child,Phoenix,AZ,shreyaghoshal
4252,107.9 The Alternative,Las Vegas,NV,fountainradio
4253,Strolleria,Scottsdale,AZ,strolleria
4254,Dairy Queen,Phoenix,AZ,DairyQueen
4255,Ivy & Leo,Charlotte,NC,Ivy_and_Leo
4256,Charlotte Symphony,Charlotte,NC,CLTsymphony
4257,Jimmy Choo,Las Vegas,NV,jimmychoo
4258,Givenchy,Las Vegas,NV,givenchy
4259,Starbucks,Las Vegas,NV,Starbucks
4260,Taco Bell,Charlotte,NC,tacobell
4261,Sandbar Mexican Grill,Phoenix,AZ,sandbararizona
4262,Bank of America,Las Vegas,NV,BankofAmerica
4263,Cost Cutters,Phoenix,AZ,CostCutters
4264,Dave's Place,Phoenix,AZ,DaveandBusters
4265,Cachet Nail Boutique,Charlotte,NC,cachetnails
4266,It's Just Lunch,Charlotte,NC,ItsJustLunchMN
4267,Sloppy Joe's,Pittsburgh,PA,SloppyJoesBarKW
4268,Jacqueline Weinstein,Scottsdale,AZ,huegoddess
4269,Apricot Lounge Salon,Scottsdale,AZ,SalonApricot
4270,Capstone Mortgage,Scottsdale,AZ,CapMortgage
4271,Michael O'Connell,Scottsdale,AZ,mikeylikestv
4272,Liquor Outlet,Las Vegas,NV,LiquorOutletNJ
4273,Elite Nails,Las Vegas,NV,eliteNailsSpa
4274,Chevron,Las Vegas,NV,Chevron
4275,Mobile Construction,Las Vegas,NV,CandyRufusGames
4276,Esthetic Solutions,Scottsdale,AZ,Mesoesteticapr
4277,Famous Footwear,Phoenix,AZ,FamousFootwear
4278,Refresh Salon,Phoenix,AZ,RefreshSalon
